symbol,name,currency,summary,category_group,category,family,exchange,isin,trading_days,last_price,avg_volume,avg_dollar_volume,liquidity_rank,asset_type,size_metric,market_bucket,candidate_status,candidate_fail_reasons
SPY,SPDR S&P 500 ETF Trust,USD,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the S&P 500Â® Index.
 The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the âPortfolioâ), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index.",Alternatives,Large Cap,State Street Global Advisors,PCX,,124,699.9400024414062,83360005.64516129,56220005020.10547,1,ETF,642392326144.0,alternative,FAIL,market_bucket_not_allowed:alternative
QQQ,Invesco QQQ Trust,USD,"The investment seeks investment results that generally correspond to the price and yield performance of the NASDAQ-100 IndexÂ®.
 To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 IndexÂ®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index.",Information Technology,Large Cap,Invesco Investment Management,NGM,,124,637.4000244140625,60429308.06451613,36717594038.38984,2,ETF,250561953792.0,equity,PASS,
IWM,iShares Russell 2000 ETF,USD,"The investment seeks to track the investment results of the Russell 2000Â® Index, which measures the performance of the small-capitalization sector of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Small Cap,BlackRock Asset Management,PCX,,124,269.3900146484375,42012886.29032258,10552081098.43826,3,ETF,75712061440.0,equity,FAIL,size_metric<100000000000.0
GLD,SPDR Gold Shares,USD,"The investment seeks to reflect the performance of the price of gold bullion, less the expenses of the Trustâs operations.
 The Trust holds gold bars and from time to time, issues Baskets in exchange for deposits of gold and distributes gold in connection with redemptions of Baskets. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trustâs expenses. The Sponsor believes that, for many investors, the Shares represent a cost-effective investment in gold.",Commodities,,State Street Global Advisors,PCX,,124,440.4599914550781,16367046.774193548,6941069058.981323,4,ETF,114651734016.0,commodity,PASS,
IVV,iShares Core S&P 500 ETF,USD,"The investment seeks to track the investment results of the S&P 500 (the ""underlying index""), which measures the performance of the large-capitalization sector of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Large Cap,BlackRock Asset Management,PCX,,124,703.1900024414062,9310498.387096774,6307493164.825193,5,ETF,437067743232.0,equity,PASS,
VOO,Vanguard S&P 500 ETF,USD,"The investment seeks to track the performance of the Standard & Poorâs 500 Index that measures the investment return of large-capitalization stocks.
 The fund employs an indexing investment approach designed to track the performance of the Standard & Poor&#39;s 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",Financials,Large Cap,Vanguard Asset Management,PCX,,124,643.4500122070312,9862891.129032258,6114537917.583933,6,ETF,1421127057408.0,equity,PASS,
SLV,iShares Silver Trust,USD,"The investment seeks to reflect generally the performance of the price of silver.
 The Trust seeks to reflect such performance before payment of the Trust&#39;s expenses and liabilities. It is not actively managed. The Trust does not engage in any activities designed to obtain a profit from, or to ameliorate losses caused by, changes in the price of silver.",Commodities,,BlackRock Asset Management,PCX,,124,71.83999633789062,72159500.80645162,5239303537.158181,7,ETF,24529766400.0,commodity,FAIL,size_metric<100000000000.0
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,USD,"The investment seeks to track the investment results of the Markit iBoxxÂ® USD Liquid Investment Grade Index.
 The fund generally invests at least 90% of its assets in component securities of the underlying index and at least 95% of its assets in investment-grade corporate bonds. The underlying index is designed to provide a broad representation of the U.S. dollar-denominated liquid investment-grade corporate bond market.",Fixed Income,Corporate Bonds,BlackRock Asset Management,PCX,,124,109.94000244140624,36844041.93548387,4025182263.070064,8,ETF,32267390976.0,fixed_income,FAIL,market_bucket_not_allowed:fixed_income;size_metric<100000000000.0
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,USD,"The investment seeks to track the investment results of the Markit iBoxxÂ® USD Liquid High Yield Index (the ""underlying index"").
 The underlying index is a rules-based index consisting of U.S. dollar-denominated, high yield corporate bonds for sale in the U.S. The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index.",Fixed Income,High Yield Bonds,BlackRock Asset Management,PCX,,124,80.45999908447266,46494806.451612905,3685731525.8492746,9,ETF,15737975808.0,fixed_income,FAIL,market_bucket_not_allowed:fixed_income;size_metric<100000000000.0
RSP,Invesco S&P 500 Equal Weight ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the S&P 500Â® Equal Weight Index (the ""underlying index"").
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which is an equal-weighted version of the S&P 500Â® Index.",Equities,Large Cap,Invesco Investment Management,PCX,,124,199.72999572753903,17685550.0,3422788979.163299,10,ETF,31068598272.0,equity,FAIL,size_metric<100000000000.0
TLT,iShares 20+ Year Treasury Bond ETF,USD,"The investment seeks to track the investment results of the ICE U.S. Treasury 20+ Year Bond Index (the ""underlying index"").
 The fund generally invests at least 90% of its assets in the bonds of the underlying index and at least 95% of its assets in U.S. government bonds. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than or equal to twenty years.",Fixed Income,Treasury Bonds,BlackRock Asset Management,NGM,,124,86.83000183105469,36314103.22580645,3174484201.524445,11,ETF,9525251072.0,fixed_income,FAIL,market_bucket_not_allowed:fixed_income;size_metric<100000000000.0
